no,ang,v,2ang,rads,sin2a,v2,v2g,len1,len2,e
6,33.7,0.48,67.4,1.17647771917666,0.923258555439518,0.2304,0.023494261547012,0.021691277977012,21.691277977012,2.51136E-05
6,44.25,0.47,88.5,1.54478174050832,0.999661639733169,0.2209,0.022525531144683,0.022517909399954,22.5179093999538,2.40781E-05
6,39.35,0.48,78.7,1.37357412131954,0.980614658546613,0.2304,0.023494261547012,0.023038817264728,23.0388172647275,2.51136E-05
6,41.83,0.48,83.66,1.46005427818465,0.993874363474539,0.2304,0.023494261547012,0.02335034424034,23.3503442403404,2.51136E-05
6,47.1,0.5,94.2,1.64426854474489,0.997302130551503,0.25,0.025492905324448,0.02542412879402,25.4241287940199,2.725E-05
6,51.02,0.51,102.04,1.78091239646546,0.978006712264203,0.2601,0.026522818699556,0.025939494716332,25.9394947163322,2.83509E-05
6,47.87,0.5,95.74,1.67099156017486,0.994984655499959,0.25,0.025492905324448,0.025365049621939,25.3650496219392,2.725E-05
6,36.59,0.52,73.18,1.27719201347616,0.957206992028747,0.2704,0.027573126398923,0.026393189381142,26.3931893811417,2.94736E-05
6,48.03,0.51,96.06,1.67656980699716,0.994411198998112,0.2601,0.026522818699556,0.026374587943835,26.3745879438349,2.83509E-05
6,48.38,0.51,96.76,1.68885835610118,0.993038770097842,0.2601,0.026522818699556,0.026338187260935,26.338187260935,2.83509E-05
6,32.6,0.55,65.2,1.13784216837672,0.907730282783048,0.3025,0.030846415442582,0.028000225412539,28.0002254125386,3.29725E-05
6,52.73,0.54,105.46,1.84056014066309,0.963833867750124,0.2916,0.029734924770436,0.028659527548749,28.6595275487487,3.17844E-05
7,33.53,0.4,67.06,1.17038603139501,0.920901139926119,0.16,0.016315459407647,0.01502492516692,15.0249251669203,1.744E-05
7,47.7,0.4,95.4,1.66501656510699,0.995564556090377,0.16,0.016315459407647,0.016243093102585,16.2430931025845,1.744E-05
7,49.31,0.41,98.62,1.72135296592798,0.988687741643894,0.1681,0.017141429540159,0.016947521260608,16.9475212606077,1.83229E-05
7,47.8,0.41,95.6,1.66853476490658,0.995227399981831,0.1681,0.017141429540159,0.017059620353224,17.0596203532242,1.83229E-05
7,50.75,0.42,101.5,1.77157544347265,0.979911493806558,0.1764,0.017987793996931,0.017626446085817,17.626446085817,1.92276E-05
7,42.42,0.41,84.84,1.48086509549324,0.995958911487829,0.1681,0.017141429540159,0.017072159506162,17.072159506162,1.83229E-05
7,50.62,0.43,101.24,1.76702844189218,0.980808182269033,0.1849,0.018854552777962,0.018492699637648,18.4926996376484,2.01541E-05
7,41.23,0.43,82.46,1.43933275192059,0.991371102520444,0.1849,0.018854552777962,0.018691858775018,18.691858775018,2.01541E-05
7,37.25,0.45,74.5,1.30016763246917,0.963603013367823,0.2025,0.020649253312803,0.019897682716013,19.8976827160125,2.20725E-05
7,34.82,0.46,69.64,1.21544729108885,0.937525110258444,0.2116,0.021577195066613,0.020229162183894,20.2291621838943,2.30644E-05
7,35.91,0.46,71.82,1.2535559618942,0.950099891412721,0.2116,0.021577195066613,0.02050049068978,20.5004906897801,2.30644E-05
7,44.43,0.45,88.86,1.5508983166851,0.999802041128466,0.2025,0.020649253312803,0.020645165609919,20.6451656099192,2.20725E-05
7,37.81,0.46,75.62,1.31991090168749,0.968692984259268,0.2116,0.021577195066613,0.020901677481022,20.9016774810217,2.30644E-05
7,56.73,0.47,113.46,1.98022093362207,0.917350028070957,0.2209,0.022525531144683,0.020663796627888,20.6637966278876,2.40781E-05
7,42.93,0.46,85.86,1.49853334276385,0.997390166565273,0.2116,0.021577195066613,0.021520882181501,21.5208821815005,2.30644E-05
7,42.72,0.46,85.44,1.49114183847507,0.996829258263998,0.2116,0.021577195066613,0.021508779353669,21.5087793536694,2.30644E-05
7,53.86,0.48,107.72,1.87989759307501,0.952607351721414,0.2304,0.023494261547012,0.022380806272949,22.3808062729488,2.51136E-05
7,43.97,0.47,87.94,1.53469551766763,0.999348436558294,0.2209,0.022525531144683,0.022510854332084,22.5108543320836,2.40781E-05
7,45.94,0.48,91.88,1.60376947099601,0.99945643513168,0.2304,0.023494261547012,0.023481490891827,23.4814908918274,2.51136E-05
7,71.09,0.61,142.18,2.48134880454045,0.613309472597477,0.3721,0.037943640284909,0.023271194011566,23.2711940115657,4.05589E-05
7,44.76,0.48,89.52,1.56243242976666,0.999965022817153,0.2304,0.023494261547012,0.02349343978393,23.4934397839295,2.51136E-05
7,28.2,0.53,56.4,0.984440921815563,0.832962866508245,0.2809,0.02864382842255,0.023859245430618,23.8592454306176,3.06181E-05
7,48.78,0.49,97.56,1.70286434409576,0.991291687952738,0.2401,0.0244833862736,0.024270177305956,24.2701773059559,2.61709E-05
7,50.74,0.49,101.48,1.77107051972005,0.98001206727541,0.2401,0.0244833862736,0.023994013995893,23.9940139958932,2.61709E-05
7,53.89,0.5,107.78,1.88095847400754,0.952284092959094,0.25,0.025492905324448,0.024276488223784,24.2764882237842,2.725E-05
7,54.7,0.51,109.4,1.90952965348903,0.943176328306283,0.2601,0.026522818699556,0.02501569475738,25.0156947573804,2.83509E-05
7,38.62,0.52,77.24,1.34825106938918,0.975338838272323,0.2704,0.027573126398923,0.026893141069462,26.8931410694617,2.94736E-05
7,60.59,0.57,121.18,2.11498998756673,0.85554503358362,0.3249,0.033130579759653,0.028344702973117,28.344702973117,3.54141E-05
8,45.99,0.39,91.98,1.6052383051879,0.999406933692735,0.1521,0.015509883599394,0.015500685210002,15.5006852100019,1.65789E-05
8,48.88,0.4,97.76,1.70620486937749,0.990846262638623,0.16,0.016315459407647,0.016166111977299,16.166111977299,1.744E-05
8,41.91,0.42,83.82,1.46293497902165,0.994188602291352,0.1764,0.017987793996931,0.017883259772113,17.8832597721133,1.92276E-05
8,38.98,0.43,77.96,1.36070357472314,0.978011575429613,0.1849,0.018854552777962,0.018439970866395,18.4399708663953,2.01541E-05
8,45.95,0.44,91.9,1.60386668583535,0.999453225510791,0.1936,0.019741705883253,0.019730911622102,19.7309116221023,2.11024E-05
8,42.52,0.45,85.04,1.48422799589598,0.996255301507125,0.2025,0.020649253312803,0.020571928085044,20.5719280850436,2.20725E-05
8,44.78,0.46,89.56,1.56304353935095,0.999969947293953,0.2116,0.021577195066613,0.021576546613512,21.5765466135123,2.30644E-05
8,35.79,0.49,71.58,1.24936176116873,0.948783175109333,0.2401,0.0244833862736,0.023229424966095,23.2294249660945,2.61709E-05
8,60.91,0.52,121.82,2.12601474375939,0.849785326641996,0.2704,0.027573126398923,0.02343123822345,23.43123822345,2.94736E-05
8,41.22,0.49,82.44,1.43876450762272,0.991296454033273,0.2401,0.0244833862736,0.024270293995747,24.2702939957466,2.61709E-05
8,42.13,0.5,84.26,1.47052398476858,0.99497693954356,0.25,0.025492905324448,0.025364852919793,25.3648529197932,2.725E-05
8,45.48,0.5,90.96,1.58764503726195,0.999858063835572,0.25,0.025492905324448,0.025489286959246,25.4892869592463,2.725E-05
8,49.56,0.51,99.12,1.73004913873921,0.987346048446043,0.2601,0.026522818699556,0.026187200236657,26.1872002366573,2.83509E-05
8,45.52,0.51,91.04,1.58912130655646,0.999832102256855,0.2601,0.026522818699556,0.026518365578155,26.5183655781544,2.83509E-05
8,52.45,0.53,104.9,1.83090749251518,0.966361393618616,0.2809,0.02864382842255,0.027680289952988,27.6802899529879,3.06181E-05
9,46.73,0.39,93.46,1.63112094458303,0.998181021958852,0.1521,0.015509883599394,0.015481671461706,15.4816714617062,1.65789E-05
9,39.9,0.39,79.8,1.39277274309148,0.984195607969242,0.1521,0.015509883599394,0.015264759318638,15.264759318638,1.65789E-05
9,33.67,0.41,67.34,1.17539596410628,0.92284242755247,0.1681,0.017141429540159,0.01581883844856,15.8188384485599,1.83229E-05
9,56.71,0.42,113.42,1.97950143909123,0.917636208105937,0.1764,0.017987793996931,0.016506251075534,16.5062510755342,1.92276E-05
9,46.99,0.41,93.98,1.64026043102427,0.997588339087081,0.1681,0.017141429540159,0.017100090224546,17.1000902245454,1.83229E-05
9,62.1,0.46,124.2,2.16758677611922,0.827143609453903,0.2116,0.021577195066613,0.017847439009289,17.8474390092892,2.30644E-05
9,27.76,0.47,55.52,0.969154630094896,0.824407531431974,0.2209,0.022525531144683,0.018570217525182,18.5702175251817,2.40781E-05
9,58.12,0.45,116.24,2.02870792557172,0.896977684591413,0.2025,0.020649253312803,0.01852191942506,18.5219194250596,2.20725E-05
9,56.74,0.45,113.48,1.9807101494114,0.917155170519967,0.2025,0.020649253312803,0.018938569443214,18.9385694432139,2.20725E-05
9,42.53,0.44,85.06,1.48454103815062,0.996282318402928,0.1936,0.019741705883253,0.019668312506596,19.6683125065957,2.11024E-05
9,53.44,0.46,106.88,1.86534755104601,0.956932522960788,0.2116,0.021577195066613,0.020647919713511,20.647919713511,2.30644E-05
9,45.15,0.45,90.3,1.57595813805767,0.999986677881824,0.2025,0.020649253312803,0.02064897822101,20.6489782210102,2.20725E-05
9,49.85,0.46,99.7,1.74008083749407,0.985705562787178,0.2116,0.021577195066613,0.021268761206505,21.2687612065045,2.30644E-05
9,45.58,0.46,91.16,1.59113583539228,0.999793159325913,0.2116,0.021577195066613,0.021572732025041,21.5727320250405,2.30644E-05
9,40.39,0.48,80.78,1.40971378147596,0.987054235762595,0.2304,0.023494261547012,0.023190110376092,23.1901103760919,2.51136E-05
9,38.56,0.5,77.12,1.34613663790698,0.974869976195429,0.25,0.025492905324448,0.024852268006797,24.8522680067971,2.725E-05
9,43,0.49,86,1.50098186517148,0.997563960165462,0.2401,0.0244833862736,0.024423743769353,24.4237437693532,2.61709E-05
9,38.45,0.5,76.9,1.34201441455986,0.973943369236079,0.25,0.025492905324448,0.02482864610331,24.8286461033095,2.725E-05
9,49.57,0.5,99.14,1.73024499958787,0.987314969793425,0.25,0.025492905324448,0.025169527050354,25.1695270503542,2.725E-05
9,39.53,0.51,79.06,1.37982938135869,0.981821159820311,0.2601,0.026522818699556,0.026040664617302,26.0406646173018,2.83509E-05
9,41.33,0.51,82.66,1.44273219951787,0.991810990769022,0.2601,0.026522818699556,0.026305623092394,26.3056230923937,2.83509E-05
9,47.68,0.53,95.36,1.66422966596044,0.995638280026221,0.2809,0.02864382842255,0.028518892063994,28.5188920639939,3.06181E-05
10,42.46,0.39,84.92,1.48228617747679,0.996085533244713,0.1521,0.015509883599394,0.015449170675666,15.4491706756661,1.65789E-05
10,44.85,0.39,89.7,1.56552745703581,0.999986119537842,0.1521,0.015509883599394,0.015509668315042,15.5096683150419,1.65789E-05
10,58.07,0.42,116.14,2.02690377872394,0.897773794054917,0.1764,0.017987793996931,0.016148970063303,16.1489700633027,1.92276E-05
10,42.46,0.4,84.92,1.48213360079358,0.996072034691179,0.16,0.016315459407647,0.016251372849096,16.2513728490961,1.744E-05
10,38.4,0.4,76.8,1.34041286553165,0.97357890287316,0.16,0.016315459407647,0.015884387069968,15.8843870699684,1.744E-05
10,47.31,0.4,94.62,1.65138945318644,0.996754131454458,0.16,0.016315459407647,0.01626250157115,16.2625015711495,1.744E-05
10,51.39,0.41,102.78,1.79399901482325,0.975193524135606,0.1681,0.017141429540159,0.01671621108199,16.7162110819898,1.83229E-05
10,49.73,0.4,99.46,1.7360252508178,0.986380728195072,0.16,0.016315459407647,0.016093254731352,16.0932547313518,1.744E-05
10,48.44,0.41,96.88,1.69086276202734,0.992800680554604,0.1681,0.017141429540159,0.017018022913149,17.0180229131486,1.83229E-05
