no,len2
11,24.232
11,23.59
11,23.506
11,23.399
11,23.1
11,22.824
11,22.787
11,22.719
11,22.7
11,22.7
11,22.698
11,22.139
11,22.071
11,21.863
11,21.825
11,21.473
11,21.411
11,21.277
11,20.96
11,20.732
11,20.565
11,20.52
11,20
11,19.93
11,19.83
11,19.64
11,19.21
11,19.21
11,18.93
11,18.82
11,18.82
11,18.72
11,18.6
11,18.45
11,18.43
11,18.26
11,17.98
11,17.76
11,16.92
11,16.84
11,16.49
11,16.34
12,28.388
12,27.666
12,27.461
12,27.414
12,26.689
12,25.81
12,25.4
12,25.178
12,24.442
12,23.604
12,23.204
12,22.493
12,22.32
12,22.314
12,21.943
12,21.656
12,21.494
12,21.383
12,21.375
12,21.284
12,21.082
12,20.941
12,20.684
12,20.475
12,20.452
12,20.448
12,20.335
12,20.128
12,19.939
12,19.844
12,19.822
12,19.704
12,19.659
12,19.659
12,18.799
12,18.599
12,18.591
12,18.408
12,18
12,17.799
12,17.799
12,17.799
12,17.695
12,17.338
12,17.205
12,17.14
12,16.8
12,16.79
12,16.5
12,16.39
13,28.179
13,27.905
13,27.785
13,26.832
13,26.771
13,25.969
13,25.654
13,24.375
13,24.1
13,24.022
13,23.905
13,23.587
13,23.006
13,22.912
13,21.781
13,21.415
13,21.415
13,21.415
13,21.415
13,21.387
13,21
13,20.938
13,20.842
13,20.749
13,20.556
13,20.495
13,20.436
13,20.341
13,20.22
13,20.04
13,20
13,20
13,19.9
13,19.68
13,19.42
13,19.39
13,19.36
13,19.13
13,18.81
13,18.7
13,18.51
13,18.46
13,18.46
13,18.43
13,18.04
13,17.09
14,28.947
14,28.544
14,28.275
14,28.237
14,27.574
14,27.542
14,27.506
14,27.391
14,27.165
14,27.06
14,24.803
14,23.498
14,23.481
14,23.2
14,22.692
14,22.538
14,22.338
14,22.03
14,21.629
14,21.535
14,21.535
14,21.487
14,21.373
14,21.031
14,20.953
14,20.475
14,20.448
14,20.409
14,19.977
14,19.925
14,19.777
14,19.757
14,19.717
14,19.608
14,19.57
14,19.51
14,19.48
14,19.33
14,19.31
14,19.29
14,19.29
14,19.19
14,19.16
14,19.01
14,18.91
14,18.87
14,18.84
14,18.82
14,18.77
14,18.76
14,18.61
14,18.58
14,18.49
14,18.38
14,18.35
14,18.23
14,18.18
14,18.16
14,18.15
14,17.73
14,17.46
14,17.2
14,17.19
14,16.97
15,27.748
15,27.567
15,27.051
15,26.947
15,26.657
15,26.599
15,26.399
15,26.216
15,25.935
15,25.785
15,25.648
15,25.29
15,25.219
15,24.986
15,24.926
15,24.653
15,24.394
15,24.041
15,23.908
15,23.908
15,23.739
15,23.676
15,22.931
15,22.796
15,22.703
15,22.613
15,22.265
15,22.22
15,22.142
15,21.922
15,21.713
15,21.63
15,21.53
15,20.68
15,20.38
15,20.31
15,20.27
15,20.25
15,20.14
15,19.58
15,19.45
15,19.38
15,19.38
15,19.34
15,18.85
15,18.58
15,18.57
15,18.52
15,17.93
15,17.73
15,17.72
15,17.68
15,17.64
15,17.62
15,17.53
15,17.53
15,16.65
15,16.47
15,16.15
15,16.11
16,28.441
16,27.788
16,27.653
16,27.403
16,27.115
16,26.995
