no,len2
43,19.17
43,19.14
43,19.03
43,18.96
43,18.86
43,18.79
43,18.74
43,18.43
43,18.43
43,18.43
43,18.43
43,18.39
43,17.81
43,17.36
43,17.1
43,16.98
43,16.83
43,16.8
43,16.78
43,16.68
44,28.49
44,28.35
44,28.33
44,26.64
44,26.39
44,25.77
44,25.65
44,25.28
44,24.53
44,23.44
44,23.38
44,23.07
44,22.87
44,22.84
44,22.66
44,22.08
44,22.03
44,21.53
44,21.51
44,21.16
44,21.07
44,20.92
44,20.91
44,20.5
44,20.36
44,20.29
44,20.15
44,20.13
44,20.02
44,19.88
44,19.56
44,19.27
44,18.97
44,18.96
44,18.91
44,18.9
44,18.81
44,18.78
44,18.78
44,18.64
44,18.52
44,18.46
44,18.41
44,18.1
44,18.1
44,17.84
44,17.74
44,17.64
44,17.28
44,17.24
44,17.1
44,16.76
45,28.76
45,28.58
45,27.31
45,26.18
45,25.66
45,24.9
45,24.89
45,24.89
45,23.86
45,23.77
45,23.63
45,23.58
45,23.53
45,23.18
45,22.88
45,22.56
45,22.4
45,22.26
45,21.99
45,21.85
45,21.68
45,21.66
45,21.62
45,21.59
45,21.54
45,21.28
45,21.05
45,20.95
45,20.72
45,20.48
45,20.4
45,20.31
45,20.13
45,20.05
45,20.05
45,19.79
45,19.7
45,19.56
45,19.5
45,19.43
45,19.37
45,19.33
45,19.01
45,18.93
45,18.83
45,18.75
45,18.59
45,18.51
45,18.5
45,18.21
45,17.97
45,17.95
45,17.91
45,17.86
45,17.8
45,17.59
45,17.58
45,17.38
45,17.3
45,16.98
46,28.58
46,28.51
46,28.46
46,27.97
46,27.18
46,26.67
46,26.62
46,26.32
46,25.57
46,25.54
46,24.62
46,24.61
46,24.14
46,23.98
46,23.52
46,23.14
46,22.83
46,22.76
46,22.69
46,22.69
46,22.68
46,22.56
46,22.47
46,22.18
46,22.16
46,22.13
46,21.9
46,21.51
46,21.36
46,21.15
46,21.07
46,20.85
46,20.69
46,20.61
46,20.52
46,20.44
46,20.42
46,20.27
46,20.12
46,20.05
46,20
46,19.9
46,19.84
46,19.83
46,19.79
46,19.58
46,19.58
46,19.52
46,19.26
46,19.13
46,19.08
46,19.05
46,19
46,18.94
46,18.92
46,18.89
46,18.78
46,18.78
46,18.73
46,18.68
46,18.66
46,18.61
46,18.58
46,18.56
46,18.41
46,18.31
46,18.24
46,18.22
46,18.2
46,18.14
46,18.14
46,17.83
46,17.79
46,17.78
46,17.75
46,17.7
46,17.65
46,17.58
46,17.22
46,17.12
47,28.77
47,27.21
47,27.21
47,27.03
47,26.5
47,26.48
47,26.3
47,26.12
47,25.62
47,25.21
47,24.96
47,24.22
47,24.1
47,23.92
47,23.72
47,23.58
47,23.1
47,23
47,22.85
47,22.7
47,22.36
47,21.8
47,21.33
47,20.96
47,20.85
47,20.73
47,20.62
47,20.57
47,20.54
47,20.42
47,20.3
47,20.03
47,20.02
47,20
47,19.84
47,19.82
47,19.81
47,19.77
47,19.64
47,19.53
47,19.53
47,19.45
47,19.39
47,19.37
47,19.33
47,19.32
47,19.26
47,19.24
47,19.24
47,19.09
47,19.01
47,18.73
47,18.69
47,18.53
47,18.43
47,18.4
47,18.4
47,18.37
47,18.3
47,18.17
47,18.07
47,17.68
47,17.45
48,28.75
48,28.69
48,28.55
48,28.36
48,28.35
48,28.27
48,27.84
48,27.84
48,27.66
48,27.11
48,27.08
48,26.72
48,26.68
48,26.53
48,26.39
48,26.38
48,26.16
48,25.89
48,25.84
48,25.8
48,25.72
48,25.15
48,25.06
48,24.81
48,24.55
48,24.42
48,24.28
48,24.25
48,23.94
48,23.86
48,23.46
48,23.26
48,23.1
48,23.07
48,23.06
48,22.97
48,22.6
48,22.55
48,22.29
48,22.14
48,22.03
48,21.9
48,21.86
48,21.66
48,21.56
48,21.52
48,20.93
48,20.92
48,20.88
48,20.74
48,20.69
48,20.21
48,19.97
48,19.97
48,19.65
48,19.62
48,19.38
48,19.31
48,19.31
48,19.29
48,18.96
48,18.92
48,18.77
48,18.58
48,18.52
48,18.34
48,18.19
48,17.99
48,17.93
48,17.74
48,17.74
48,17.63
48,17.28
48,17.2
48,17.08
48,16.98
48,16.76
48,16.72
